2022-04-15 00:00:04 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-02.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.uy0so.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=56350956, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-02.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000005, setVersion=1, lastWriteDate=Fri Apr 15 00:00:04 WAT 2022, lastUpdateTimeNanos=76842391922600}
2022-04-15 00:00:06 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-01.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=63603107, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-01.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:06 WAT 2022, lastUpdateTimeNanos=76844021936200}
2022-04-15 00:00:08 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-00.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=65620515, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-00.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}, Tag{name='nodeType', value='ELECTABLE'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:09 WAT 2022, lastUpdateTimeNanos=76846424074600}
2022-04-15 00:00:16 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-01.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=62592185, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-01.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='provider', value='AWS'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:16 WAT 2022, lastUpdateTimeNanos=76854092655600}
2022-04-15 00:00:24 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-02.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.uy0so.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=57699379, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-02.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}]}, electionId=7fffffff0000000000000005, setVersion=1, lastWriteDate=Fri Apr 15 00:00:25 WAT 2022, lastUpdateTimeNanos=76862589519500}
2022-04-15 00:00:28 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-00.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=65534253, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-00.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:28 WAT 2022, lastUpdateTimeNanos=76866574521500}
2022-04-15 00:00:35 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-02.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.uy0so.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=58837143, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-02.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000005, setVersion=1, lastWriteDate=Fri Apr 15 00:00:35 WAT 2022, lastUpdateTimeNanos=76872666210900}
2022-04-15 00:00:36 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-01.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=60745198, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-01.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:36 WAT 2022, lastUpdateTimeNanos=76874223416100}
2022-04-15 00:00:38 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-00.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=65003242, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-00.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='region', value='EU_WEST_3'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:38 WAT 2022, lastUpdateTimeNanos=76876648401400}
2022-04-15 00:00:45 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-02.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.uy0so.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=59452294, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-02.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='provider', value='AWS'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='region', value='EU_WEST_3'}]}, electionId=7fffffff0000000000000005, setVersion=1, lastWriteDate=Fri Apr 15 00:00:45 WAT 2022, lastUpdateTimeNanos=76882741338800}
2022-04-15 00:00:49 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-00.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=67959653, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-00.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:49 WAT 2022, lastUpdateTimeNanos=76886741904800}
